id,match_x,match_y
loc.ark+=13960=t5w67702t,477.450583,102.1775434
loc.ark+=13960=t5x648b6t,498.136144887218,132.330840639098
loc.ark+=13960=t5z614k50,485.834151666667,41.223756
loc.ark+=13960=t5z618n23,498.136144887218,132.330840639098
loc.ark+=13960=t6737d86r,484.02557,44.95025
loc.ark+=13960=t6737h09v,479.014297142857,112.132809142857
loc.ark+=13960=t6834db0x,485.834151666667,41.223756
loc.ark+=13960=t6834jn70,477.450583,102.1775434
loc.ark+=13960=t6d22f329,477.450583,102.1775434
loc.ark+=13960=t6d22r13m,477.450583,102.1775434
loc.ark+=13960=t6f19kg11,477.450583,102.1775434
loc.ark+=13960=t6g16h27w,122.4480925,43.4141795
loc.ark+=13960=t6g16md64,477.450583,102.1775434
loc.ark+=13960=t6g16mj7d,484.02557,44.95025
loc.ark+=13960=t6n01wp1x,477.450583,102.1775434
loc.ark+=13960=t6nz8z914,103.04675547619,55.4688920238095
loc.ark+=13960=t6pz5v76k,477.450583,102.1775434
loc.ark+=13960=t6pz5wb9s,482.200714298246,60.5237433245614
loc.ark+=13960=t6pz60z23,477.450583,102.1775434
loc.ark+=13960=t6qz2m076,485.58671,54.57506875
loc.ark+=13960=t6qz2pw66,477.450583,102.1775434
loc.ark+=13960=t6tx3z57j,477.450583,102.1775434
loc.ark+=13960=t6vx10307,446.96484,164.14925
loc.ark+=13960=t6xw55h4d,477.450583,102.1775434
loc.ark+=13960=t6zw2312h,446.96484,164.14925
loc.ark+=13960=t6zw28b90,485.623015,52.9378115
loc.ark+=13960=t70v8xt85,485.834151666667,41.223756
loc.ark+=13960=t73v02z4k,482.200714298246,60.5237433245614
loc.ark+=13960=t73v0b266,477.450583,102.1775434
loc.ark+=13960=t74t7bz0k,477.450583,102.1775434
loc.ark+=13960=t77s89x2n,446.96484,164.14925
loc.ark+=13960=t77s89z3k,477.450583,102.1775434
loc.ark+=13960=t7br9925v,498.136144887218,132.330840639098
loc.ark+=13960=t7gq7d91f,482.200714298246,60.5237433245614
loc.ark+=13960=t7gq7j96h,484.02557,44.95025
loc.ark+=13960=t7kp8rn0j,477.450583,102.1775434
loc.ark+=13960=t7np2j326,477.450583,102.1775434
loc.ark+=13960=t7qn6hf22,485.9425,47.40796
loc.ark+=13960=t7rn3mf7w,487.85944,41.263683
loc.ark+=13960=t7rn3nd9t,485.623015,52.9378115
loc.ark+=13960=t7rn3s975,477.450583,102.1775434
loc.ark+=13960=t7tm7zx92,477.450583,102.1775434
loc.ark+=13960=t7wm21944,477.450583,102.1775434
loc.ark+=13960=t7xk8s43r,484.02557,44.95025
loc.ark+=13960=t82j72b60,446.96484,164.14925
loc.ark+=13960=t83j3xc15,487.85944,41.263683
loc.ark+=13960=t84j10z0p,479.90466,90.845433
loc.ark+=13960=t85h88b11,477.450583,102.1775434
loc.ark+=13960=t85h8bb68,477.450583,102.1775434
loc.ark+=13960=t8bg35n14,127.744935333333,114.134378333333
loc.ark+=13960=t8cg0bh9f,484.02557,44.95025
loc.ark+=13960=t8df7js6p,477.450583,102.1775434
loc.ark+=13960=t8hd8kb9p,477.450583,102.1775434
loc.ark+=13960=t8jd5m375,477.450583,102.1775434
loc.ark+=13960=t8mc9pc5d,473.80191,127.8980125
loc.ark+=13960=t8nc6fv5z,485.623015,52.9378115
loc.ark+=13960=t8nc6g64c,485.623015,52.9378115
loc.ark+=13960=t8nc6m482,477.450583,102.1775434
loc.ark+=13960=t8pc3gf2q,482.200714298246,60.5237433245614
loc.ark+=13960=t8pc3kq50,485.866642,39.9815448
loc.ark+=13960=t8rb7nh6d,485.834151666667,41.223756
loc.ark+=13960=t8rb7sn3d,498.72205,139.57214
loc.ark+=13960=t8tb1kz39,477.450583,102.1775434
loc.ark+=13960=t8tb1sp17,485.335985,43.5344855
loc.ark+=13960=t8tb1xb5b,477.450583,102.1775434
loc.ark+=13960=t8x92tz35,446.96484,164.14925
loc.ark+=13960=t9183sz8d,482.200714298246,60.5237433245614
loc.ark+=13960=t9183xd01,477.450583,102.1775434
loc.ark+=13960=t97664b0x,477.450583,102.1775434
loc.ark+=13960=t99600v0b,446.96484,164.14925
loc.ark+=13960=t9d50q52m,164.91215,48.6368165
loc.ark+=13960=t9f484f1p,446.96484,164.14925
loc.ark+=13960=t9g45bk4k,477.450583,102.1775434
loc.ark+=13960=t9j39fp1h,485.623015,52.9378115
loc.ark+=13960=t9j39h612,477.450583,102.1775434
loc.ark+=13960=t9n30kp7k,477.450583,102.1775434
loc.ark+=13960=t9q24p56d,477.450583,102.1775434
loc.ark+=13960=t9r21k60w,446.96484,164.14925
loc.ark+=13960=t9s18qd4s,477.450583,102.1775434
loc.ark+=13960=t9t15g848,446.96484,164.14925
loc.ark+=13960=t9t15hm1q,108.94569,167.83582
loc.ark+=13960=t9v12sm6m,477.450583,102.1775434
loc.ark+=13960=t9w09k62f,484.02557,44.95025
mdp.39015002330572,192.090958333333,38.8517916666667
mdp.39015002657651,473.80191,127.8980125
mdp.39015010794983,486.00742,40.889866
mdp.39015012924836,475.137111359259,94.9653543225926
mdp.39015016805981,498.739580310697,129.190362674948
mdp.39015017690598,475.137111359259,94.9653543225926
mdp.39015026430986,447.550630598958,159.720378619792
mdp.39015026436199,447.550630598958,159.720378619792
mdp.39015030938578,485.834151666667,41.223756
mdp.39015031009411,485.866642,39.9815448
mdp.39015033882153,108.94569,167.83582
mdp.39015034555469,484.831911875,92.019144
mdp.39015035438525,405.149091,162.0499585
