subd_id,x,y
179,198.40256,251.39801
180,276.9968,57.238808
181,485.30353,124.825874
182,487.85944,41.263683
183,485.30353,36.34826
184,370.28754,128.51244
185,197.1246,237.8806
186,139.61661,201.01492
187,184.34505,196.0995
188,133.86581,196.0995
189,218.21086,202.24377
190,337.0607,140.801
191,371.5655,223.13432
192,367.73163,215.7612
193,144.08946,191.18408
194,369.64856,221.90547
195,274.4409,229.27861
196,275.07986,80.58707
197,371.5655,260
198,487.22046,124.825874
199,223.96165,232.96518
200,376.03833,111.30846
201,178.59425,221.90547
202,307.02875,117.452736
203,366.45367,218.2189
204,358.14697,172.75125
205,358.14697,176.4378
206,260.3834,53.55224
207,416.2939,235.42288
208,124.28115,181.35324
209,486.00742,40.889866
210,371.5655,187.49751
211,407.34824,251.39801
212,486.58148,155.54726
213,271.246,58.467663
214,480.7256,35.306896
215,392.65176,161.69154
216,204.15335,153.08955
217,279.5527,62.15423
218,287.22046,64.61194
219,167.09265,237.8806
220,487.85944,130.97015
221,134.50479,218.2189
222,480.19168,53.55224
223,165.17572,228.04974
224,377.31628,173.9801
225,153.67412,189.95523
226,393.92972,159.23383
227,249.52077,75.67164
228,154.3131,218.2189
229,170.28754,236.65175
230,482.25647,41.52221
231,262.9393,69.52737
232,168.3706,232.96518
233,305.11182,158.00497
234,476.35782,145.71642
235,438.65814,170.29353
236,393.29074,242.79602
237,495.52716,127.283585
238,352.39618,202.24377
239,211.18211,144.48756
240,160.0639,225.59204
241,353.03516,169.06468
242,193.92972,176.4378
243,379.23322,176.4378
244,457.82748,169.06468
245,227.79553,114.995026
246,487.22046,119.910446
247,416.2939,169.06468
248,179.87221,178.89552
249,199.04153,181.35324
250,485.30353,99.0199
251,354.9521,164.14925
252,367.09265,138.34328
253,158.78595,219.44775
254,239.29712,49.865673
255,284.66455,223.13432
256,179.87221,197.32835
257,302.5559,223.13432
258,362.6198,181.35324
259,496.8051,126.054726
260,206.70926,235.42288
261,485.30353,128.51244
262,344.72842,181.35324
263,183.0671,229.27861
264,310.22363,87.9602
265,469.32907,158.00497
266,211.62347,135.9964
267,484.66455,119.910446
268,488.64224,36.667618
269,226.51758,232.96518
270,102.611786,128.38821
271,459.74442,159.23383
272,389.45688,247.71144
273,214.377,230.50746
274,308.94568,129.74129
275,234.82428,43.721394
276,112.77956,169.06468
277,211.82109,232.96518
278,369.00958,197.32835
279,486.93,38.386612
280,142.81151,193.64178
281,490.76486,125.15601
282,397.1246,256.31345
283,483.3866,142.02985
284,268.6901,86.731346
285,360.0639,189.95523
286,368.3706,135.88557
287,225.8786,135.88557
288,138.97763,182.58209
289,443.13098,166.60696
290,475.71884,142.02985
291,125.559105,189.95523
292,383.06708,214.53233
293,239.29712,58.467663
294,276.35782,94.10448
295,134.50479,189.95523
296,188.81789,165.37811
297,342.57495,154.99394
298,399.6805,260
299,143.45049,202.24377
300,354.9521,177.66667
301,392.65176,252.62686
302,428.4345,158.00497
303,347.1342,153.9053
304,309.58466,121.139305
305,249.52077,100.24876
306,131.99423,178.92197
307,248.24281,90.41791
308,150.47923,208.38806
309,359.9301,79.930626
310,207.98721,246.48259
311,352.39618,229.27861
312,446.96484,164.14925
313,383.06708,181.35324
314,487.85944,142.02985
315,264.85623,81.81592
316,208.6262,143.25871
317,140.25558,197.32835
318,431.6294,177.66667
319,361.98083,140.801
320,331.94888,132.199
321,272.52396,47.40796
322,163.25879,212.07463
323,282.7476,53.55224
324,403.51437,160.46269
325,266.77316,62.15423
326,260.3834,246.48259
327,461.66135,146.94527
328,436.10223,175.20895
329,455.91055,175.20895
330,153.03514,209.61691
331,128.11502,203.47264
332,208.6262,210.84576
333,208.6262,201.01492
334,489.1374,31.432837
335,224.60063,116.22388
336,447.60382,164.14925
337,138.33865,230.50746
338,223.54347,47.91023
339,263.57828,241.56717
340,309.58466,74.44279
341,298.08307,133.42786
342,227.15656,113.76617
343,257.1885,53.55224
344,197.1246,192.41293
345,281.46964,75.67164
346,194.5687,188.72636
347,362.6198,203.47264
348,483.02795,36.435013
349,345.3674,99.0199
350,402.8754,181.35324
351,149.84026,216.99005
352,325.5591,113.76617
353,169.64856,219.44775
354,425.23962,178.89552
355,437.3802,176.4378
356,130.03195,175.20895
357,270.60703,57.238808
358,219.48882,78.12936
359,124.28115,180.12437
360,494.88818,129.74129
361,290.41534,124.825874
362,218.21086,130.97015
363,230.35144,44.95025
364,230.99042,47.40796
365,213.73802,255.08458
366,347.9233,191.18408
367,429.0735,191.18408
368,178.59425,142.02985
369,252.07668,60.925373
370,137.0607,207.15921
371,128.11502,176.4378
372,289.1374,83.04478
373,282.7476,78.12936
374,234.1853,89.18906
375,98,129.08232
376,179.23323,229.27861
377,99.388214,134
378,371.5655,127.283585
379,486.58148,44.95025
380,482.7476,38.80597
381,490.41534,27.74627
382,183.0671,149.40298
383,488.4984,119.910446
384,352.57336,80.35819
385,158.78595,229.27861
386,450.15976,164.14925
387,333.22684,134.65672
388,491.6933,121.139305
389,282.7476,210.84576
390,425.23962,208.38806
391,484.02557,60.925373
392,137.69968,225.59204
393,137.06654,222.37709
394,341.53354,137.11443
395,135.78275,183.81094
396,189.79416,225.34467
397,393.29074,247.71144
398,145.36742,204.70149
399,360.0639,138.34328
400,144.72844,185.0398
401,281.46964,64.61194
402,328.754,232.96518
403,486.58148,142.02985
404,262.30032,65.8408
405,362.6198,158.00497
406,189.45686,212.07463
407,484.66455,43.721394
408,448.88177,162.9204
409,164.53674,188.72636
410,484.02557,44.95025
411,498.72205,139.57214
412,415.01596,165.37811
413,227.15656,58.467663
414,384.34506,181.35324
415,261.66135,232.96518
416,190.09584,202.24377
417,208.6262,126.054726
418,463.57828,149.40298
419,273.16293,69.52737
420,483.3866,44.95025
421,220.12779,192.41293
422,358.14697,185.0398
423,271.88498,57.238808
424,342.8115,138.34328
425,439.29712,172.75125
426,238.01917,51.09453
427,230.99042,107.62189
428,135.14377,186.26866
429,254.63258,89.18906
430,135.78275,178.89552
431,487.22046,121.139305
432,247.60384,232.96518
433,138.11415,197.90596
434,489.1374,128.51244
435,140.62057,220.5824
436,200.95847,167.83582
437,208.6262,139.57214
438,491.05432,129.74129
439,183.93231,231.40916
440,201.87378,197.43849
441,310.8626,144.48756
442,215.01598,108.850746
443,326.83707,137.11443
444,475.07986,143.25871
445,390.73483,160.46269
446,121.254166,176.60983
447,399.04153,242.79602
448,191.3738,208.38806
449,301.27795,108.850746
450,143.45049,210.84576
451,378.59424,230.50746
452,378.59424,151.8607
453,386.90097,260
454,292.97125,62.15423
455,150.47923,205.93034
456,291.6933,137.11443
457,375.39935,203.47264
458,129.78638,180.665
459,194.5687,171.52238
460,347.9233,183.81094
461,271.88498,54.781094
462,409.26517,250.16916
463,170.92651,240.3383
464,444.40894,160.46269
465,188.81789,212.07463
466,384.34506,198.55722
467,480.4371,39.0809
468,249.52077,38.80597
469,388.8179,232.96518
470,221.40575,223.13432
471,351.7572,148.17413
472,445.6869,173.9801
473,373.48242,221.90547
474,132.58786,205.93034
475,387.53995,252.62686
476,119.808304,192.41293
477,431.6294,164.14925
478,376.03833,164.14925
479,365.8265,178.67416
480,212.46007,202.24377
481,143.61687,199.27823
482,186.26198,226.82089
483,170.28754,225.59204
484,154.4725,207.12112
485,390.73483,172.75125
486,499.47687,151.31238
487,268.6901,49.865673
488,485.9425,47.40796
489,140.25558,193.64178
490,346.64536,185.0398
491,253.41975,232.55077
492,485.9425,126.054726
493,235.46326,49.865673
494,390.73483,256.31345
495,483.3866,24.059702
496,473.8019,140.801
497,184.98402,185.0398
498,478.27475,74.44279
499,319.80832,134.65672
500,246.47443,236.04976
501,149.20128,214.53233
502,486.58148,47.40796
503,301.27795,101.477615
504,371.89,175.72485
505,381.15015,186.26866
506,349.84024,158.00497
507,187.53993,159.23383
508,250.79872,60.925373
509,296.8051,192.41293
510,386.262,151.8607
511,485.30353,121.139305
512,360.0639,144.48756
513,499.36102,132.199
514,276.9968,160.46269
515,302.5559,135.88557
516,487.85944,114.995026
517,160.0639,226.82089
518,186.90096,235.42288
519,410.54312,183.81094
520,260.3834,64.61194
521,187.53993,228.04974
522,112.14057,188.72636
523,321.08627,123.597015
524,273.16293,54.781094
525,361.34186,97.791046
526,135.53897,197.29028
527,487.85944,143.25871
528,278.27475,44.95025
529,229.71246,33.89055
530,348.5623,196.0995
531,365.8147,241.56717
532,403.51437,161.69154
533,399.04153,170.29353
534,352.39618,173.9801
535,480.83066,180.12437
536,487.22046,155.54726
537,370.9265,145.71642
538,250.79872,236.65175
539,360.70288,207.15921
540,216.9329,203.47264
541,484.02557,33.89055
542,397.1246,196.0995
543,486.58148,111.30846
544,276.9968,53.55224
545,268.05112,54.781094
546,227.79553,240.3383
547,411.82108,250.16916
548,264.21725,47.40796
549,358.14697,214.53233
550,208.6262,133.42786
551,262.30032,51.09453
552,234.1853,36.34826
553,161.34186,181.35324
554,326.1981,135.88557
