"id","id2","full_call","short_call","main","topic","class","subclass","matched_class","matched_subclass","matched_lowtopic","matched_hightopic","match_x","match_y","multimatch"
"uc2.ark+=13960=t0000bc58","14021122","BS2391.P7;BS2391.P7","BS2391","BS","2391","B","S","B","","","","476.303576671572","94.5194084680454","0"
"uc2.ark+=13960=t00z7291f","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t00z7897t","2011862","BF1031.G8;BF1031.G8","BF1031","BF","1031","B","F","B","F","1001","1045","441.85303","180.12437","0"
"uc2.ark+=13960=t00z7bv9s","22000451","BV1471.B4;BV1471.B4","BV1471","BV","1471","B","V","B","V","1460","1615","470.723196666667","118.132187333333","0"
"uc2.ark+=13960=t01z42w93","7012649","BD241.H7;Microfilm 82/5729 (BD)","BD241","BD","241","B","D","B","","","","476.303576671572","94.5194084680454","0"
"uc2.ark+=13960=t01z4308c","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t01z4987z","2022033","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t01z49v63","w09000292","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t01z4b65h","20017254","HD4901.M4;HD4901.M4","HD4901","HD","4901","H","D","H","D","4801","8943","96.6680917777778","121.275842888889","0"
"uc2.ark+=13960=t01z4jf4n","22000292","HT421.H3;HT421.H3","HT421","HT","421","H","T","H","T","401","485","485.942505","79.972638","0"
"uc2.ark+=13960=t02z14r7b","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t02z15p2f","1002638","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t02z18z09","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t02z1ht3v","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t04x55d0p","22006734","T58.V4;T58.V4","T58","T","58","T","","T","","58","58","124.60064","177.052235","0"
"uc2.ark+=13960=t04x5725f","13014278","LB1051.T52 1913;LB1051.T52 1913","LB1051","LB","1051","L","B","L","","","","477.450583","102.1775434","0"
"uc2.ark+=13960=t04x5737v","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t04x57q4g","a13000615","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t04x58683","17017520","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t04x5h23s","9026007","PR821.B8;PR821.B8","PR821","PR","821","P","R","P","R","821","890","484.517685","38.6624395","0"
"uc2.ark+=13960=t04x5hw5h","6030351","LB1051.R6;LB1051.R6","LB1051","LB","1051","L","B","L","","","","477.450583","102.1775434","0"
"uc2.ark+=13960=t05x26n0d","1005464","BF671.M6;Microfilm 83/5458 (BF)","BF671","BF","671","B","F","B","F","660","685","461.66135","165.37811","0"
"uc2.ark+=13960=t05x26q3r","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t05x27878","6010097","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t05x27r5k","18000782","LC2808.S7L6;LC2808.S71.6","LC2808","LC","2808","L","C","L","","","","477.450583","102.1775434","0"
"uc2.ark+=13960=t05x29c21","22015898","HV6045.M4;HV6045.M4","HV6045","HV","6045","H","V","H","V","6001","7220.5","460.436632916667","149.991809958333","0"
"uc2.ark+=13960=t05x2dz8s","10003023","B21.C75 vol. 17, no. 3;B21.C75","B21","B","21","B","","B","","21","21","455.91055","175.20895","0"
"uc2.ark+=13960=t06w9796v","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t06w98620","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t06w9c50t","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t06w9d22v","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t06w9gt9x","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t07w6995c","99003989","LB475.M6R4;Microfilm 15904 LB","LB475","LB","475","L","B","L","","","","477.450583","102.1775434","0"
"uc2.ark+=13960=t08w39r6v","15019535","HF5415.S4;HF5415.S4","HF5415","HF","5415","H","F","H","F","5001","6182","460.809376666667","165.651185555556","0"
"uc2.ark+=13960=t08w3b593","32036024","LB1025.B16 1897;LB1025.B16 1897","LB1025","LB","1025","L","B","L","B","1025","1050.75","484.02557","44.95025","0"
"uc2.ark+=13960=t08w3b860","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t08w3c78x","17004718","RC415.A43;RC415.A43","RC415","RC","415","R","C","R","C","346","429","418.690085833333","162.408373333333","0"
"uc2.ark+=13960=t09w0bn82","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t09w0bs9b","16006197","D523.M14;D523.M14","D523","D","523","D","","D","","501","680","482.200714298246","60.5237433245614","0"
"uc2.ark+=13960=t09w0ch8p","9016858","JN961.P8;JN961.P8","JN961","JN","961","J","N","J","N","101","1371","485.30353","128.51244","0"
"uc2.ark+=13960=t09w0ck35","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t09w0cn9z","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t09w0cv85","22006012","HT151.F3;HT151.F3","HT151","HT","151","H","T","H","T","101","395","488.0894656","108.8015904","0"
"uc2.ark+=13960=t09w0cx1p","12002276rev","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t09w0d714","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t09w0g207","a11000277","HM68.H7;HM68.H7","HM68","HM","68","H","M","H","","","","482.753497147051","127.326241025193","0"
"uc2.ark+=13960=t0bv7d66q","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0bv7dt8r","22000999","LB2353.H6;LB2353.H6","LB2353","LB","2353","L","B","L","B","2300","2430","473.80191","127.8980125","0"
"uc2.ark+=13960=t0bv7dz15","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0bv7f448","40025644","B1653.F4 1876;B1653.F4 1876","B1653","B","1653","B","","B","","108","5802","475.137111359259","94.9653543225926","0"
"uc2.ark+=13960=t0cv4dk8s","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0cv4dn2s","1006210","JA84.G7G7;JA84.G7G7","JA84","JA","84","J","A","J","A","1","92","483.696611679487","124.954529267308","0"
"uc2.ark+=13960=t0cv4dx0d","22022684","JF11.M25 1922;JF11.M25","JF11","JF","11","J","F","J","","","","485.430906754167","119.450479445208","0"
"uc2.ark+=13960=t0cv4fp6k","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0cv4hn1j","14015063","PT2354.A3;PT2354.A3","PT2354","PT","2354","P","T","P","T","1799","2592","484.98404","35.7338325","0"
"uc2.ark+=13960=t0dv1fj40","13001885","BL262.S5;BL262.S5","BL262","BL","262","B","L","B","L","239","265","487.85944","41.263683","0"
"uc2.ark+=13960=t0dv1m328","345","JC223.L72;JC223.L72","JC223","JC","223","J","C","J","C","11","605","485.942506666667","88.7794373333333","0"
"uc2.ark+=13960=t0ft8h72f","a36000356","D363.A83;D363.A83","D363","D","363","D","","D","","351","400","486.614931","72.8617811","0"
"uc2.ark+=13960=t0ft8nq0d","44016986","HN389.B82 1914a;HN389.B82 1914a","HN389","HN","389","H","N","H","N","50","995","477.91891047619","102.418998095238","0"
"uc2.ark+=13960=t0gt5h771","A16000008","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0gt5hg37","21000558","TS155.D5 1921;TS155.D5 1921","TS155","TS","155","T","S","T","S","155","194","220.12779","192.41293","0"
"uc2.ark+=13960=t0gt5hj2n","11018626","HB171.7.H62;HB171.7.H62","HB171","HB","171","H","B","H","B","1","3840","498.136144887218","132.330840639098","0"
"uc2.ark+=13960=t0gt5hj53","12008486","BP161.M35;BP161.M35","BP161","BP","161","B","P","B","","","","476.303576671572","94.5194084680454","0"
"uc2.ark+=13960=t0ht2h954","10006734","QH308.N4;QH308.N4","QH308","QH","308","Q","H","Q","H","301","705.5","345.921194666667","148.747596","0"
"uc2.ark+=13960=t0ht2hf6d","18002452","T58.G42;T58.G42","T58","T","58","T","","T","","58","58","124.60064","177.052235","0"
"uc2.ark+=13960=t0ht2j35v","19007575","QP187.L3;QP187.L3","QP187","QP","187","Q","P","Q","P","1","345","355.591053","179.264177","0"
"uc2.ark+=13960=t0ht2qj5r","4003859","K3169.B87 1890;JC213.B95","K3169","K","3169","K","","K","","1","7720","480.191696","133.4278594","0"
"uc2.ark+=13960=t0ht2w026","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0js9jx38","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0js9jz65","8034678","AS3 1904a;AS3 1904a","AS3","AS","3","A","S","A","S","2.5","4","135.907227777778","113.341752777778","0"
"uc2.ark+=13960=t0js9kr3f","14007329","BF121.S5;BF121.S5","BF121","BF","121","B","F","B","F","1","990","447.550630598958","159.720378619792","0"
"uc2.ark+=13960=t0js9pg52","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0js9wj9c","13008333","LB1555.P85;LB1555.P85","LB1555","LB","1555","L","B","L","","","","477.450583","102.1775434","0"
"uc2.ark+=13960=t0ks6mf8d","13001421","HD7091.B93;HD7091.B93","HD7091","HD","7091","H","D","H","D","7088","7252","493.29074","136.5","0"
"uc2.ark+=13960=t0ks6n023","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0ks71v46","21020748","LB1131.F885;LB1131.F885","LB1131","LB","1131","L","B","L","B","1101","1139","446.96484","164.14925","0"
"uc2.ark+=13960=t0ms3nx69","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0ms3p51f","17001237","BF456.D7A8 1916a;BF456.D7A8 1916a","BF456","BF","456","B","F","B","F","309","499","452.928644166667","154.113598333333","0"
"uc2.ark+=13960=t0ms3p54w","a16000938","BL51.W3715;BL51.W3715","BL51","BL","51","B","L","B","L","51","65","448.88177","162.9204","0"
"uc2.ark+=13960=t0ms3wb72","9006087","BR121.W45;BR121.W45","BR121","BR","121","B","R","B","R","1","1725","486.112615535714","44.7346468392857","0"
"uc2.ark+=13960=t0ms3x87k","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0ns0z70b","11006359","PN524.M67;PN524.M67","PN524","PN","524","P","N","P","N","1","6790","482.614754706125","67.9732083081481","0"
"uc2.ark+=13960=t0pr7n923","17020719","CB53.D8 1876a;CB53.D8 1876a","CB53","CB","53","C","B","C","B","3","482","485.443785238095","46.3648855238095","0"
"uc2.ark+=13960=t0pr7nx3n","14013761","QC357.L84 1876;QC357.L84 1876","QC357","QC","357","Q","C","Q","C","1","999","177.954935","171.0751296","0"
"uc2.ark+=13960=t0pr7qg25","12025118","HV5045.P42;HV5045.P42","HV5045","HV","5045","H","V","H","V","5001","5720.5","457.82749","151.24627","0"
"uc2.ark+=13960=t0qr4pc9z","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0qr4qb12","20019848","QL927.H4 1920;QL927.H4 1920","QL927","QL","927","Q","L","Q","L","1","991","291.373798333333","67.6840796666667","0"
"uc2.ark+=13960=t0qr4qp40","7028982","QP359.B62;Microfilm 35205 QP","QP359","QP","359","Q","P","Q","P","351","495","405.149091","162.0499585","0"
"uc2.ark+=13960=t0qr4rn1h","23007226","B2430.B43L8;B2430.B43L8","B2430","B","2430","B","","B","","108","5802","475.137111359259","94.9653543225926","0"
"uc2.ark+=13960=t0rr1rn06","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0rr1sd6c","14000033","AC8.W3;AC8.W3","AC8","AC","8","A","C","A","","","","486.260327148325","90.1608912623206","0"
"uc2.ark+=13960=t0rr1sz14","9016902","K5011.W54 1909;Z6455.C9W5","K5011","K","5011","K","","K","","1","7720","480.191696","133.4278594","0"
"uc2.ark+=13960=t0sq8tq30","20016103","LB3407.G63;LB3407.G63","LB3407","LB","3407","L","B","L","","","","477.450583","102.1775434","0"
"uc2.ark+=13960=t0tq5xw3n","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0tq63653","21002309","Z7751.J76;Z7751.J76","Z7751","Z","7751","Z","","Z","","7751","7751","492.32568","29.519371","0"
"uc2.ark+=13960=t0vq2z41d","e11000372","PE1065.M3;PE1065.M3","PE1065","PE","1065","P","E","P","E","1001","1693","476.251321666667","91.23715","0"
"uc2.ark+=13960=t0wp9w26q","10013687","HM251.L3413 1898;HM251.L3413 1898","HM251","HM","251","H","M","H","M","251","251","464.43025","150.222223333333","0"
"uc2.ark+=13960=t0wp9w83z","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0wp9wj7g","3026444","BJ1311.S6 1879;Microfilm 22599 BJ","BJ1311","BJ","1311","B","J","B","J","1","1725","485.797275","41.054003","0"
"uc2.ark+=13960=t0wp9x83c","22015112","KD737.C65 1921","KD737","KD","737","K","D","K","","","","480.191696","133.4278594","0"
"uc2.ark+=13960=t0wq00n13","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0xp6wt8q","17018309","LD6121.A4 1912a;LD6121.A4 1912a","LD6121","LD","6121","L","D","L","","","","477.450583","102.1775434","0"
"uc2.ark+=13960=t0xp6xg56","10020313","Z1035.S72;Z1035.S72","Z1035","Z","1035","Z","","Z","","1001","1121","484.831911875","92.019144","0"
"uc2.ark+=13960=t0xp6z55k","1009447","PZ3.S4631Ch;PZ3.S4631Ch","PZ3","PZ","3","P","Z","P","","","","483.56729691312","63.4939973369194","0"
"uc2.ark+=13960=t0xp76z17","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0zp3xw48","14010467","BR1690.B8;BR1690.B8","BR1690","BR","1690","B","R","B","R","1","1725","486.112615535714","44.7346468392857","0"
"uc2.ark+=13960=t0zp4001c","4011000","PJ3041.W3;PJ3041.W3","PJ3041","PJ","3041","P","J","P","J","3001","3097","486.93","38.386612","0"
"uc2.ark+=13960=t0zp4352b","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t0zp4810n","14011787","B2430.B43M5;B2430.B43M5","B2430","B","2430","B","","B","","108","5802","475.137111359259","94.9653543225926","0"
"uc2.ark+=13960=t10p0xx64","5031442","QE434.W7;QE434.W7","QE434","QE","434","Q","E","Q","E","1","996.5","487.85944","41.263683","0"
"uc2.ark+=13960=t10p10b2s","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t11n8195t","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t11n81r1q","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t12n52v81","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t12n59n68","10035001","Z696.U5B11910;Z696.U5B11910","Z696","Z","696","Z","","Z","","696","696","482.7476","13","0"
"uc2.ark+=13960=t14m92k7r","20013083","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t14m9400k","4013113","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t14m96p7r","9016216","BF1.P8 vol. 10, no. 2;BF1.P8 v. 10, no. 2","BF1","BF","1","B","F","B","F","1","1","440.04399","156.5753675","0"
"uc2.ark+=13960=t15m63g4j","14018659","QH308.C3;QH308.C3","QH308","QH","308","Q","H","Q","H","301","705.5","345.921194666667","148.747596","0"
"uc2.ark+=13960=t15m65747","23004368","DG211.H4;DG211.H4","DG211","DG","211","D","G","D","G","11","365","192.090958333333","38.8517916666667","0"
"uc2.ark+=13960=t16m3dj9r","","","","","","","","","","","","-","-","0"
"uc2.ark+=13960=t17m0570n","17029231","BL51.C6;BL51.C6","BL51","BL","51","B","L","B","L","51","65","448.88177","162.9204","0"
"uc2.ark+=13960=t17m06c2t","6025729","Z695.S25;Z695.S25","Z695","Z","695","Z","","Z","","695","695","108.94569","167.83582","0"
"uc2.ark+=13960=t17m06g7k","99003482","BL1451.C27;BL1451.C27","BL1451","BL","1451","B","L","B","L","1000","2370","484.02557","60.925373","0"
